RegionCode,CountryCode,Year,Population
EU,EST,2005,1354775
EU,EST,2006,1346810
EU,EST,2007,1340680
EU,EST,2008,1337090
EU,EST,2009,1334515
EU,EST,2010,1331475
EU,EST,2011,1327439
EU,EST,2012,1322696
EU,EST,2013,1317997
EU,EST,2014,1314545
OA,FJI,2001,841320
OA,FJI,2002,849891
OA,FJI,2003,858306
OA,FJI,2004,866694
OA,FJI,2005,874923
OA,FJI,2006,883083
OA,FJI,2007,890648
OA,FJI,2008,896731
OA,FJI,2009,901383
OA,FJI,2011,908355
OA,FJI,2012,911059
EU,FIN,1990,
EU,FIN,1991,5013740
EU,FIN,1992,5041992
EU,FIN,1993,5066447
EU,FIN,1994,5088333
EU,FIN,1995,5107790
EU,FIN,1996,5124573
EU,FIN,1997,5139835
EU,FIN,1998,5153498
EU,FIN,1999,5165474
EU,FIN,2000,5176209
EU,FIN,2001,5188008
EU,FIN,2002,5200598
EU,FIN,2003,5213014
EU,FIN,2004,5228172
EU,FIN,2005,5246096
EU,FIN,2006,5266268
EU,FIN,2007,5288720
EU,FIN,2008,5313399
EU,FIN,2009,5338871
EU,FIN,2010,5363352
EU,FIN,2011,5388272
EU,FIN,2012,5413971
EU,FIN,2013,5438972
EU,FIN,2014,5461512
EU,FRA,1990,
EU,FRA,1991,58557577
EU,FRA,1992,58849943
EU,FRA,1993,59106166
EU,FRA,1994,59327585
EU,FRA,1995,59543659
EU,FRA,1996,59756533
EU,FRA,1997,59969944
EU,FRA,1998,60192790
EU,FRA,1999,60504420
EU,FRA,2000,60921384
EU,FRA,2001,61367388
EU,FRA,2002,61816234
EU,FRA,2003,62256970
EU,FRA,2004,62716306
EU,FRA,2005,63188395
EU,FRA,2006,63628261
EU,FRA,2007,64021737
EU,FRA,2008,64379696
EU,FRA,2009,64710879
EU,FRA,2010,65030575
EU,FRA,2011,65345233
EU,FRA,2012,65662240
EU,FRA,2013,66002289
EU,FRA,2014,66312067
CSA,GUF,2001,
CSA,GUF,2002,
CSA,GUF,2003,
CSA,GUF,2004,
CSA,GUF,2005,
CSA,GUF,2006,
CSA,GUF,2007,
CSA,GUF,2008,
CSA,GUF,2009,
CSA,GUF,2010,
CSA,GUF,2011,
CSA,GUF,2012,
CSA,GUF,2013,
CSA,GUF,2014,
AS,GEO,1990,
AS,GEO,1991,4835900
AS,GEO,1992,4873500
AS,GEO,1994,4836076
AS,GEO,1995,4657722
AS,GEO,1996,4491699
AS,GEO,1997,4349913
AS,GEO,1998,4243607
AS,GEO,1999,4157192
AS,GEO,2000,4077131
AS,GEO,2001,4014373
AS,GEO,2004,3927340
AS,GEO,2005,3902469
AS,GEO,2006,3880347
AS,GEO,2007,3860158
AS,GEO,2009,3814419
AS,GEO,2010,3786695
AS,GEO,2011,3756441
AS,GEO,2012,3728874
AS,GEO,2013,3717668
AS,GEO,2014,3719414
EU,DEU,1990,
EU,DEU,1991,80013896
EU,DEU,1992,80624598
EU,DEU,1993,81156363
EU,DEU,1994,81438348
EU,DEU,1995,81678051
EU,DEU,1996,81914831
EU,DEU,1997,82034771
EU,DEU,1998,82047195
EU,DEU,1999,82100243
EU,DEU,2000,82211508
EU,DEU,2001,82349925
EU,DEU,2002,82488495
EU,DEU,2003,82534176
EU,DEU,2004,82516260
EU,DEU,2005,82469422
EU,DEU,2006,82376451
EU,DEU,2007,82266372
EU,DEU,2008,82110097
EU,DEU,2009,81902307
EU,DEU,2010,81776930
EU,DEU,2011,80274983
EU,DEU,2012,80425823
EU,DEU,2013,80645605
EU,DEU,2014,80982500
EU,GRC,1990,
EU,GRC,1991,10319927
EU,GRC,1992,10399061
EU,GRC,1993,10460415
EU,GRC,1994,10512922
EU,GRC,1995,10562153
EU,GRC,1996,10608800
EU,GRC,1997,10661259
EU,GRC,1998,10720509
EU,GRC,1999,10761698
EU,GRC,2000,10805808
EU,GRC,2001,10862132
EU,GRC,2002,10902022
EU,GRC,2003,10928070
EU,GRC,2004,10955141
EU,GRC,2005,10987314
EU,GRC,2006,11020362
EU,GRC,2007,11048473
EU,GRC,2008,11077841
EU,GRC,2009,11107017
EU,GRC,2010,11121341
EU,GRC,2011,11104899
EU,GRC,2012,11045011
EU,GRC,2013,10965211
EU,GRC,2014,10892413
NAC,GRD,1990,
NAC,GRD,1991,99758
NAC,GRD,1992,101040
NAC,GRD,1993,102173
NAC,GRD,1994,103174
NAC,GRD,1995,104060
NAC,GRD,1996,104846
NAC,GRD,2001,107936
NAC,GRD,2002,108231
NAC,GRD,2003,108740
NAC,GRD,2004,109516
NAC,GRD,2005,110254
NAC,GRD,2006,110988
NAC,GRD,2007,111725
NAC,GRD,2008,112478
NAC,GRD,2009,113249
NAC,GRD,2010,114039
NAC,GRD,2011,114918
NAC,GRD,2012,115912
NAC,GRD,2013,116945
NAC,GRD,2014,117972
NAC,GLP,2000,
NAC,GLP,2001,
NAC,GLP,2002,
NAC,GLP,2003,
NAC,GLP,2004,
NAC,GLP,2005,
NAC,GLP,2006,
NAC,GLP,2007,
NAC,GLP,2008,
NAC,GLP,2009,
NAC,GLP,2010,
NAC,GLP,2011,
NAC,GLP,2012,
NAC,GLP,2013,
NAC,GLP,2014,
CSA,GTM,1990,
CSA,GTM,1991,9296814
CSA,GTM,1992,9544055
CSA,GTM,1993,9790619
CSA,GTM,1994,10037522
CSA,GTM,1995,10286786
CSA,GTM,1996,10536942
CSA,GTM,1997,10788362
CSA,GTM,1998,11046215
CSA,GTM,1999,11311078
CSA,GTM,2000,11589761
CSA,GTM,2001,11871565
CSA,GTM,2002,12147518
CSA,GTM,2003,12415334
CSA,GTM,2004,12682108
CSA,GTM,2005,12948292
CSA,GTM,2006,13213330
CSA,GTM,2007,13477017
CSA,GTM,2008,13739299
CSA,GTM,2009,14000190
CSA,GTM,2010,14259687
CSA,GTM,2011,14521515
CSA,GTM,2012,14781942
CSA,GUY,1990,
CSA,GUY,1991,744096
CSA,GUY,1992,744998
CSA,GUY,1993,747189
CSA,GUY,1994,749546
CSA,GUY,1995,751689
CSA,GUY,1996,753571
CSA,GUY,1997,755211
CSA,GUY,1998,756697
CSA,GUY,1999,758014
CSA,GUY,2001,759809
CSA,GUY,2002,760323
CSA,GUY,2003,760562
CSA,GUY,2004,760424
CSA,GUY,2005,759709
CSA,GUY,2006,758367
CSA,GUY,2007,756521
CSA,GUY,2008,754150
CSA,GUY,2009,751258
CSA,GUY,2010,747932
CSA,GUY,2011,744230
CSA,GUY,2012,743966
CSA,GUY,2013,747420
CSA,GUY,2014,751115
AS,HKG,1990,
AS,HKG,1991,5752000
AS,HKG,1992,5800500
AS,HKG,1993,5901000
AS,HKG,1994,6035400
AS,HKG,1995,6156100
AS,HKG,1996,6435500
AS,HKG,1997,6489300
AS,HKG,1998,6543700
AS,HKG,1999,6606500
AS,HKG,2000,6665000
AS,HKG,2001,6714300
AS,HKG,2002,6744100
AS,HKG,2003,6730800
AS,HKG,2004,6783500
AS,HKG,2005,6813200
AS,HKG,2006,6857100
AS,HKG,2007,6916300
AS,HKG,2008,6957800
AS,HKG,2009,6972800
AS,HKG,2010,7024200
AS,HKG,2011,7071600
AS,HKG,2012,7150100
AS,HKG,2013,7178900
AS,HKG,2014,7229500
EU,HUN,1990,
EU,HUN,1991,10373400
EU,HUN,1992,10369341
EU,HUN,1993,10357523
EU,HUN,1994,10343355
EU,HUN,1995,10328965
EU,HUN,1996,10311238
EU,HUN,1997,10290486
EU,HUN,1998,10266570
EU,HUN,1999,10237530
EU,HUN,2000,10210971
EU,HUN,2001,10187576
EU,HUN,2002,10158608
EU,HUN,2003,10129552
EU,HUN,2004,10107146
EU,HUN,2005,10087065
EU,HUN,2006,10071370
EU,HUN,2007,10055780
EU,HUN,2008,10038188
EU,HUN,2009,10022650
EU,HUN,2010,10000023
EU,HUN,2011,9971727
EU,HUN,2012,9920362
EU,HUN,2013,9893082
EU,HUN,2014,9866468
EU,ISL,1990,
EU,ISL,1991,257797
EU,ISL,1992,261057
EU,ISL,1993,263725
EU,ISL,1994,266021
EU,ISL,1995,267468
EU,ISL,1996,268916
EU,ISL,1997,271128
EU,ISL,1998,274047
EU,ISL,1999,277381
EU,ISL,2000,281205
EU,ISL,2001,284968
EU,ISL,2002,287523
EU,ISL,2003,289521
